,model,source,target,similarity
84,Thomas,085834,093266,0.225
85,Thomas,067720,103791,0.204
86,Thomas,014782,002844,0.23
87,Thomas,152576,046011,0.202
88,Thomas,050769,108898,0.234
89,Thomas,152904,136565,0.226
90,Thomas,038552,143205,0.223
91,Thomas,089853,040415,0.209
92,Thomas,038920,176441,0.213
93,Thomas,089421,142755,0.213
94,Thomas,055037,119445,0.202
95,Thomas,157228,056122,0.203
96,Thomas,026095,153179,0.212
97,Thomas,143664,021576,0.209
98,Thomas,041809,048055,0.226
99,Thomas,005490,166204,0.221
100,Thomas,044325,077272,0.204
101,Thomas,135198,182210,0.201
102,Thomas,037387,146062,0.244
103,Thomas,202559,076082,0.226
104,Thomas,029640,195270,0.206
105,Thomas,171173,162242,0.221
106,Thomas,193215,044359,0.218
107,Thomas,122366,147292,0.225
108,Thomas,009885,115115,0.214
109,Thomas,020179,132699,0.226
110,Thomas,064192,186372,0.207
111,Thomas,017130,009096,0.206
112,Thomas,056685,129987,0.206
113,Thomas,094754,138953,0.231
114,Thomas,196939,005337,0.203
115,Thomas,127438,090553,0.226
116,Thomas,110803,150476,0.212
117,Thomas,048342,093084,0.218
118,Thomas,110471,174999,0.215
119,Thomas,107128,030888,0.234
120,Thomas,076395,022998,0.242
121,Thomas,068652,039657,0.207
122,Thomas,130161,073684,0.204
123,Thomas,181012,016249,0.237
124,Thomas,102676,000008,0.219
125,Thomas,098094,003276,0.208
126,Thomas,086921,142783,0.244
127,Thomas,037420,073164,0.2
128,Thomas,086553,177359,0.241
129,Thomas,044482,183664,0.224
130,Thomas,037852,067056,0.229
131,Thomas,166858,161118,0.219
132,Thomas,115488,017646,0.235
133,Thomas,064635,038133,0.217
134,Thomas,151811,102217,0.21
135,Thomas,009350,042086,0.235
136,Thomas,151463,088176,0.212
137,Thomas,139658,198321,0.205
138,Thomas,048897,103036,0.227
139,Thomas,163374,125614,0.202
140,Thomas,025180,065414,0.246
141,Thomas,162293,134368,0.206
142,Thomas,049970,197253,0.216
143,Thomas,049502,146714,0.203
144,Thomas,111231,097556,0.201
145,Thomas,095114,180652,0.223
146,Thomas,126278,120724,0.238
147,Thomas,024067,088600,0.222
148,Thomas,016770,167216,0.218
149,Thomas,192455,137744,0.202
150,Thomas,150584,202282,0.203
151,Thomas,123954,117635,0.208
152,Thomas,192827,061452,0.201
153,Thomas,021739,052882,0.214
154,Thomas,123526,118796,0.203
155,Thomas,028000,153021,0.221
156,Thomas,170733,012853,0.231
157,Thomas,099173,151681,0.212
158,Thomas,045565,104976,0.201
159,Thomas,045917,064986,0.207
160,Thomas,118508,184351,0.214
161,Thomas,142024,052118,0.214
162,Thomas,131086,173531,0.205
163,Thomas,033299,145344,0.213
164,Thomas,057762,052792,0.203
165,Thomas,162946,021978,0.221
166,Thomas,013789,166665,0.21
167,Thomas,111596,173247,0.208
168,Thomas,162534,058507,0.228
169,Thomas,138018,178374,0.217
170,Thomas,008962,183481,0.215
171,Thomas,123281,129407,0.221
172,Thomas,008510,097765,0.209
173,Thomas,150223,023803,0.212
174,Thomas,065075,143573,0.206
175,Thomas,036260,029221,0.209
176,Thomas,087313,093448,0.216
177,Thomas,001229,071676,0.248
178,Thomas,159968,137116,0.202
179,Thomas,170094,071058,0.201
180,Thomas,069012,182894,0.217
181,Thomas,004577,160517,0.221
182,Thomas,106768,028813,0.235
183,Thomas,004905,031837,0.205
184,Thomas,059396,097690,0.247
185,Thomas,172875,022464,0.235
186,Thomas,070618,144041,0.207
187,Thomas,172407,043972,0.201
188,Thomas,085780,089977,0.205
189,Thomas,047651,104041,0.214
190,Thomas,075146,142445,0.243
191,Thomas,018851,149484,0.209
192,Thomas,140310,165869,0.229
193,Thomas,018423,121612,0.216
194,Thomas,149429,012091,0.219
195,Thomas,113105,064254,0.202
196,Thomas,038694,145432,0.247
197,Thomas,026353,136266,0.213
198,Thomas,097220,052273,0.216
199,Thomas,067894,043161,0.237
200,Thomas,014836,100930,0.203
201,Thomas,079121,180233,0.227
202,Thomas,190761,010928,0.201
203,Thomas,187238,061117,0.221
204,Thomas,085027,179819,0.243
205,Thomas,034154,024370,0.218
206,Thomas,059843,059081,0.234
207,Thomas,101302,042218,0.201
208,Thomas,059431,161091,0.224
209,Thomas,080779,161040,0.204
210,Thomas,133867,007314,0.247
211,Thomas,018384,131436,0.226
212,Thomas,182566,163063,0.21
213,Thomas,133415,120345,0.205
214,Thomas,182914,162129,0.223
215,Thomas,169139,055487,0.23
216,Thomas,006643,036516,0.207
217,Thomas,055456,143112,0.203
218,Thomas,097587,022591,0.239
219,Thomas,195798,012579,0.213
220,Thomas,157649,063584,0.203
221,Thomas,026886,015572,0.243
222,Thomas,055824,010769,0.22
223,Thomas,160600,184614,0.203
224,Thomas,089040,028545,0.218
225,Thomas,152117,032408,0.238
226,Thomas,050308,038583,0.219
227,Thomas,108849,058166,0.223
228,Thomas,079686,137979,0.202
229,Thomas,120052,153916,0.201
230,Thomas,191121,037884,0.209
231,Thomas,015204,093510,0.208
232,Thomas,027513,057303,0.226
233,Thomas,096812,105918,0.223
234,Thomas,027961,179624,0.204
235,Thomas,096460,017014,0.204
236,Thomas,112745,164646,0.21
237,Thomas,148269,114603,0.224
238,Thomas,141922,178196,0.23
239,Thomas,141550,173469,0.222
240,Thomas,019263,025246,0.227
241,Thomas,132980,064950,0.206
242,Thomas,074706,086644,0.203
243,Thomas,066973,199100,0.217
244,Thomas,051548,152739,0.214
245,Thomas,093499,012357,0.244
246,Thomas,191686,149742,0.204
247,Thomas,153757,074411,0.229
248,Thomas,039773,044795,0.211
249,Thomas,156009,110199,0.21
250,Thomas,054216,042436,0.249
251,Thomas,168779,028776,0.22
252,Thomas,132255,005104,0.224
253,Thomas,173992,189794,0.219
254,Thomas,100542,017923,0.239
255,Thomas,058271,000296,0.229
256,Thomas,084667,081283,0.205
257,Thomas,186478,112033,0.205
258,Thomas,035714,029136,0.211
259,Thomas,021358,003424,0.201
260,Thomas,123147,148563,0.203
261,Thomas,016311,198486,0.203
262,Thomas,095575,113673,0.233
263,Thomas,024874,096188,0.219
264,Thomas,126619,087772,0.201
265,Thomas,095907,098383,0.237
266,Thomas,024406,180545,0.22
267,Thomas,049163,128705,0.218
268,Thomas,111650,060674,0.207
269,Thomas,118169,047546,0.217
270,Thomas,131895,120890,0.229
271,Thomas,180594,059726,0.233
272,Thomas,077613,100593,0.231
273,Thomas,045104,159333,0.224
274,Thomas,099960,056543,0.207
275,Thomas,028461,048084,0.241
276,Thomas,170352,070791,0.214
277,Thomas,099512,037272,0.225
278,Thomas,065866,191369,0.215
279,Thomas,192793,011155,0.203
280,Thomas,008171,027720,0.219
281,Thomas,150642,072015,0.202
282,Thomas,189978,103740,0.206
283,Thomas,162155,026382,0.226
284,Thomas,138479,077165,0.207
285,Thomas,004116,194568,0.213
286,Thomas,106309,108336,0.214
287,Thomas,069473,196413,0.212
288,Thomas,131340,189666,0.205
289,Thomas,069801,026857,0.218
290,Thomas,103457,120899,0.202
291,Thomas,170887,108563,0.221
292,Thomas,001648,119107,0.204
293,Thomas,103825,101806,0.218
294,Thomas,036601,010715,0.213
295,Thomas,171512,020491,0.212
296,Thomas,171960,064522,0.202
297,Thomas,098352,061324,0.215
298,Thomas,086695,079418,0.23
299,Thomas,044744,148849,0.25
300,Thomas,202138,114390,0.226
301,Thomas,146929,070825,0.21
302,Thomas,076053,157950,0.206
303,Thomas,119729,138636,0.201
304,Thomas,068594,032131,0.229
305,Thomas,048723,194051,0.242
306,Thomas,110010,122071,0.207
307,Thomas,094335,037356,0.238
308,Thomas,127059,132809,0.243
309,Thomas,017551,047934,0.202
310,Thomas,064981,142217,0.202
311,Thomas,122707,200043,0.222
312,Thomas,091819,094492,0.212
313,Thomas,020518,123985,0.243
314,Thomas,037041,066908,0.203
315,Thomas,029586,188564,0.202
316,Thomas,098887,068189,0.21
317,Thomas,181801,142752,0.216
318,Thomas,068233,075630,0.201
319,Thomas,130500,076449,0.205
320,Thomas,181473,191591,0.237
321,Thomas,130972,130489,0.205
322,Thomas,107549,145964,0.216
323,Thomas,056931,098424,0.223
324,Thomas,025993,062463,0.202
325,Thomas,061978,174775,0.243
326,Thomas,139239,152661,0.201
327,Thomas,163715,060564,0.216
328,Thomas,009731,001699,0.201
329,Thomas,151002,156993,0.236
330,Thomas,025297,194262,0.211
331,Thomas,127088,140539,0.2
332,Thomas,056235,196704,0.224
333,Thomas,053919,159784,0.225
334,Thomas,009047,027839,0.213
335,Thomas,017580,042721,0.223
336,Thomas,135528,165006,0.212
337,Thomas,184829,085519,0.208
338,Thomas,037737,183202,0.209
339,Thomas,102561,132142,0.249
340,Thomas,102913,014332,0.206
341,Thomas,032069,196861,0.201
342,Thomas,130276,134651,0.209
343,Thomas,068545,061745,0.215
344,Thomas,181305,017227,0.228
345,Thomas,068937,107243,0.221
346,Thomas,005020,018733,0.213
347,Thomas,110766,174948,0.22
348,Thomas,025942,029691,0.209
349,Thomas,094443,050715,0.203
350,Thomas,056592,143888,0.227
351,Thomas,025530,184162,0.218
352,Thomas,094831,040867,0.208
353,Thomas,115038,104090,0.231
354,Thomas,193102,133702,0.223
355,Thomas,171264,094106,0.206
356,Thomas,029557,157067,0.205
357,Thomas,098856,010308,0.222
358,Thomas,029925,163402,0.241
359,Thomas,044032,165249,0.206
360,Thomas,037090,150555,0.202
361,Thomas,076725,011242,0.227
362,Thomas,005787,054560,0.209
363,Thomas,143901,135149,0.221
364,Thomas,004660,118481,0.215
365,Thomas,069305,097137,0.205
366,Thomas,180937,072302,0.222
367,Thomas,033629,084570,0.212
368,Thomas,131844,195611,0.203
369,Thomas,142494,127753,0.223
370,Thomas,103321,182399,0.228
371,Thomas,170383,134230,0.2
372,Thomas,036177,071089,0.244
373,Thomas,087004,092731,0.211
374,Thomas,065362,156180,0.219
375,Thomas,021389,038645,0.212
376,Thomas,123196,010954,0.206
377,Thomas,150134,173702,0.228
378,Thomas,008607,132284,0.213
379,Thomas,111681,057807,0.245
380,Thomas,162623,026425,0.211
381,Thomas,057475,080157,0.21
382,Thomas,142333,055278,0.203
383,Thomas,131391,142058,0.212
384,Thomas,045672,089882,0.202
385,Thomas,170424,089273,0.23
386,Thomas,028317,059025,0.23
387,Thomas,103486,002173,0.219
388,Thomas,170856,104356,0.23
389,Thomas,150693,187416,0.21
390,Thomas,192742,115732,0.244
391,Thomas,123631,164227,0.23
392,Thomas,016815,156530,0.233
393,Thomas,114678,024635,0.207
394,Thomas,016467,065151,0.203
395,Thomas,095203,097924,0.224
396,Thomas,162184,178018,0.23
397,Thomas,013339,198573,0.214
398,Thomas,111126,096316,0.217
399,Thomas,049615,121505,0.208
400,Thomas,007775,041872,0.208
401,Thomas,183450,066906,0.216
402,Thomas,141581,046528,0.202
403,Thomas,132951,195167,0.214
404,Thomas,183822,104613,0.201
405,Thomas,132523,159914,0.221
406,Thomas,173296,063803,0.223
407,Thomas,058975,137795,0.232
408,Thomas,100234,114437,0.223
409,Thomas,084111,059108,0.204
410,Thomas,035062,118747,0.208
411,Thomas,164068,000181,0.201
412,Thomas,066277,018748,0.203
413,Thomas,120083,048846,0.214
414,Thomas,063529,002512,0.209
415,Thomas,039005,075251,0.227
416,Thomas,161736,078878,0.228
417,Thomas,112794,081872,0.206
418,Thomas,054912,115616,0.237
419,Thomas,019967,095168,0.205
420,Thomas,019515,105432,0.207
421,Thomas,141226,053433,0.209
422,Thomas,043039,175805,0.221
423,Thomas,074070,136672,0.223
424,Thomas,046767,095327,0.202
425,Thomas,144578,058329,0.224
426,Thomas,173943,194109,0.217
427,Thomas,078017,081634,0.235
428,Thomas,051599,081589,0.227
429,Thomas,153786,163928,0.201
430,Thomas,022949,194842,0.218
431,Thomas,191657,054101,0.221
432,Thomas,015900,038258,0.243
433,Thomas,027265,084792,0.221
434,Thomas,055320,148447,0.24
435,Thomas,160176,022657,0.208
436,Thomas,062369,098045,0.217
437,Thomas,089736,102058,0.211
438,Thomas,067437,159729,0.204
439,Thomas,165628,000943,0.233
440,Thomas,067845,070574,0.221
441,Thomas,014495,168157,0.207
442,Thomas,047680,069959,0.23
443,Thomas,085751,003856,0.214
444,Thomas,059347,192429,0.203
445,Thomas,101474,195749,0.211
446,Thomas,199089,072474,0.217
447,Thomas,133363,163281,0.207
448,Thomas,018880,129145,0.206
449,Thomas,177388,168827,0.211
450,Thomas,075197,004743,0.205
451,Thomas,006135,000125,0.222
452,Thomas,089091,080938,0.234
453,Thomas,157698,147154,0.203
454,Thomas,067390,109455,0.227
455,Thomas,079657,021117,0.212
456,Thomas,121164,159493,0.233
457,Thomas,190017,016298,0.25
458,Thomas,092208,165770,0.218
459,Thomas,059892,158202,0.23
460,Thomas,172371,001875,0.204
461,Thomas,034185,013261,0.207
462,Thomas,145338,090191,0.214
463,Thomas,006692,027893,0.236
464,Thomas,140814,128412,0.214
465,Thomas,042679,068868,0.205
466,Thomas,018355,083042,0.205
467,Thomas,140466,117285,0.217
468,Thomas,134709,006926,0.207
469,Thomas,036964,001220,0.226
470,Thomas,087465,179599,0.209
471,Thomas,131057,179990,0.23
472,Thomas,069764,063010,0.238
473,Thomas,033248,001252,0.21
474,Thomas,004201,201842,0.215
475,Thomas,057014,192323,0.225
476,Thomas,150927,145759,0.204
477,Thomas,192484,186983,0.204
478,Thomas,008266,196319,0.241
479,Thomas,065703,123769,0.228
480,Thomas,170045,085899,0.229
481,Thomas,099605,129400,0.232
482,Thomas,045213,022463,0.213
483,Thomas,077504,035929,0.228
484,Thomas,077976,186256,0.203
485,Thomas,180683,023642,0.221
486,Thomas,111935,047368,0.203
487,Thomas,162997,180461,0.237
488,Thomas,013758,177905,0.206
489,Thomas,111547,026328,0.212
490,Thomas,049274,068683,0.243
491,Thomas,095662,074549,0.248
492,Thomas,024711,003733,0.213
493,Thomas,114219,144165,0.208
494,Thomas,016006,160919,0.206
495,Thomas,123250,144387,0.21
496,Thomas,064143,175222,0.203
497,Thomas,009854,046306,0.201
498,Thomas,151315,005342,0.212
499,Thomas,009426,125685,0.208
500,Thomas,048393,187153,0.233
501,Thomas,163870,128291,0.245
502,Thomas,154839,187295,0.2
503,Thomas,094785,073123,0.201
504,Thomas,056654,019264,0.2
505,Thomas,076891,182023,0.232
506,Thomas,005441,154961,0.202
507,Thomas,005833,141559,0.213
508,Thomas,130617,117711,0.212
509,Thomas,068124,200850,0.225
510,Thomas,083909,040469,0.207
511,Thomas,181764,165815,0.216
512,Thomas,119399,114087,0.206
513,Thomas,102100,031217,0.219
514,Thomas,202588,020102,0.247
515,Thomas,086225,135802,0.21
516,Thomas,122862,063693,0.204
517,Thomas,193563,056538,0.206
518,Thomas,122410,085497,0.206
519,Thomas,193911,193331,0.205
520,Thomas,166889,127443,0.203
521,Thomas,115459,033123,0.203
522,Thomas,094022,114513,0.208
523,Thomas,025151,002086,0.224
524,Thomas,139689,197282,0.213
525,Thomas,048434,160789,0.21
526,Thomas,012118,121977,0.205
527,Thomas,076344,090712,0.204
528,Thomas,044453,156627,0.21
529,Thomas,086582,117950,0.238
530,Thomas,037883,139865,0.24
531,Thomas,044821,151998,0.202
532,Thomas,171605,159755,0.207
533,Thomas,073868,101801,0.207
534,Thomas,152200,060491,0.2
535,Thomas,079591,140421,0.21
536,Thomas,038224,110642,0.209
537,Thomas,149099,083851,0.241
538,Thomas,160965,139624,0.233
539,Thomas,055741,012421,0.225
540,Thomas,006554,144737,0.213
541,Thomas,075984,051366,0.226
542,Thomas,018093,167836,0.227
543,Thomas,182671,171101,0.206
544,Thomas,101015,020336,0.247
545,Thomas,085330,110583,0.217
546,Thomas,034243,023223,0.221
547,Thomas,190804,195974,0.227
548,Thomas,079236,033814,0.204
549,Thomas,190476,122293,0.201
550,Thomas,092669,127444,0.215
551,Thomas,014753,006147,0.202
552,Thomas,026044,046135,0.2
553,Thomas,195328,041066,0.208
554,Thomas,169589,153832,0.204
555,Thomas,018734,107411,0.235
556,Thomas,140007,146871,0.227
557,Thomas,187688,074598,0.25
558,Thomas,034996,139990,0.209
559,Thomas,172710,178064,0.208
560,Thomas,035871,152358,0.203
561,Thomas,084902,010402,0.204
562,Thomas,035403,148835,0.208
563,Thomas,002838,043500,0.209
564,Thomas,100655,187077,0.222
565,Thomas,183031,156861,0.22
566,Thomas,063148,199024,0.238
567,Thomas,088965,092096,0.201
568,Thomas,039464,145891,0.201
569,Thomas,161357,127782,0.211
570,Thomas,088517,076918,0.215
571,Thomas,039816,171391,0.21
572,Thomas,153440,128779,0.202
573,Thomas,164409,072647,0.202
574,Thomas,173150,050281,0.227
575,Thomas,144119,135225,0.218
576,Thomas,200908,001951,0.203
577,Thomas,074863,188916,0.239
578,Thomas,183796,139294,0.205
579,Thomas,019174,008723,0.244
580,Thomas,043458,113786,0.234
581,Thomas,112452,092118,0.204
582,Thomas,161882,027175,0.212
583,Thomas,112820,041633,0.204
584,Thomas,027604,039121,0.216
585,Thomas,096777,082050,0.225
586,Thomas,125869,168186,0.208
587,Thomas,015113,166456,0.21
588,Thomas,078476,178982,0.229
589,Thomas,093029,051990,0.234
590,Thomas,078804,176517,0.244
591,Thomas,191236,130045,0.217
592,Thomas,198791,120919,0.204
593,Thomas,084049,027087,0.24
594,Thomas,046198,036053,0.231
595,Thomas,137325,020916,0.209
596,Thomas,176490,084428,0.226
597,Thomas,105840,105260,0.225
598,Thomas,081717,002895,0.201
599,Thomas,183508,117254,0.222
600,Thomas,030664,107996,0.246
601,Thomas,054438,073655,0.235
602,Thomas,164130,155270,0.225
603,Thomas,109827,008841,0.242
604,Thomas,144852,179700,0.211
605,Thomas,137482,181959,0.226
606,Thomas,144420,011417,0.203
607,Thomas,198036,054088,0.202
608,Thomas,105395,087541,0.217
609,Thomas,176337,078639,0.228
610,Thomas,074128,008448,0.207
611,Thomas,125122,106197,0.223
612,Thomas,010374,045519,0.204
613,Thomas,088789,039774,0.214
614,Thomas,093962,012615,0.218
615,Thomas,022811,060916,0.201
616,Thomas,066488,112389,0.212
617,Thomas,164697,040363,0.207
618,Thomas,015858,056869,0.215
619,Thomas,050526,170276,0.206
620,Thomas,108215,031100,0.216
621,Thomas,092885,011946,0.232
622,Thomas,023584,185343,0.22
623,Thomas,062231,148911,0.216
624,Thomas,011293,154172,0.208
625,Thomas,140299,042340,0.208
626,Thomas,182348,071784,0.207
627,Thomas,031024,002335,0.206
628,Thomas,169717,139152,0.201
629,Thomas,104272,053724,0.217
630,Thomas,085609,109903,0.201
631,Thomas,136917,104420,0.235
632,Thomas,187864,192613,0.206
633,Thomas,116075,075768,0.24
634,Thomas,092350,157711,0.2
635,Thomas,011534,184884,0.213
636,Thomas,149207,175802,0.232
637,Thomas,062596,018039,0.209
638,Thomas,124762,064370,0.202
639,Thomas,177577,023693,0.201
640,Thomas,031783,012736,0.235
641,Thomas,199676,158115,0.22
642,Thomas,003094,022774,0.211
643,Thomas,172229,007651,0.205
644,Thomas,070036,110529,0.248
645,Thomas,201603,159023,0.224
646,Thomas,145260,170617,0.204
647,Thomas,053841,123308,0.248
648,Thomas,091990,032226,0.202
649,Thomas,064808,148331,0.204
650,Thomas,012386,006011,0.218
651,Thomas,139417,133469,0.202
652,Thomas,041193,002396,0.243
653,Thomas,005178,030901,0.216
654,Thomas,184971,041951,0.206
655,Thomas,135470,194966,0.234
656,Thomas,184503,023927,0.247
657,Thomas,102439,156703,0.228
658,Thomas,000626,159830,0.216
659,Thomas,115160,073310,0.217
660,Thomas,178877,071561,0.234
661,Thomas,053394,124807,0.201
662,Thomas,091245,117522,0.214
663,Thomas,178405,114961,0.236
664,Thomas,122129,174314,0.216
665,Thomas,061483,061033,0.216
666,Thomas,127677,072922,0.219
667,Thomas,094969,125311,0.205
668,Thomas,025468,118822,0.209
669,Thomas,174462,069988,0.228
670,Thomas,174810,194265,0.231
671,Thomas,041634,087419,0.205
672,Thomas,143859,155857,0.227
673,Thomas,032696,178636,0.201
674,Thomas,181988,109904,0.21
675,Thomas,146375,197144,0.232
676,Thomas,001066,177426,0.203
677,Thomas,103279,116362,0.215
678,Thomas,106527,075062,0.205
679,Thomas,004738,047709,0.208
680,Thomas,106955,152742,0.243
681,Thomas,175585,148026,0.223
682,Thomas,033771,034706,0.205
683,Thomas,082602,009208,0.242
684,Thomas,189324,139700,0.21
685,Thomas,138257,116180,0.24
686,Thomas,126790,177116,0.216
687,Thomas,155732,147243,0.215
688,Thomas,167025,108911,0.231
689,Thomas,147535,145395,0.23
690,Thomas,134597,179245,0.213
691,Thomas,147947,179533,0.244
692,Thomas,036788,077855,0.216
693,Thomas,185896,104380,0.204
694,Thomas,072763,069226,0.233
695,Thomas,040074,071752,0.201
696,Thomas,106280,043424,0.211
697,Thomas,155095,153518,0.223
698,Thomas,024228,076601,0.215
699,Thomas,126037,028594,0.215
700,Thomas,138982,076343,0.201
701,Thomas,189483,155747,0.215
702,Thomas,090405,053261,0.205
703,Thomas,021904,073466,0.224
704,Thomas,090877,119830,0.218
705,Thomas,114720,003045,0.222
706,Thomas,062650,137453,0.236
707,Thomas,055619,030205,0.215
708,Thomas,157874,187292,0.2
709,Thomas,165311,028158,0.203
710,Thomas,050147,012040,0.234
711,Thomas,108674,119493,0.245
712,Thomas,190289,097719,0.202
713,Thomas,003352,058748,0.233
714,Thomas,085268,190694,0.222
715,Thomas,136104,103450,0.216
716,Thomas,182729,109661,0.207
717,Thomas,080536,192099,0.231
718,Thomas,031445,122819,0.212
719,Thomas,169376,050196,0.21
720,Thomas,080944,036028,0.202
721,Thomas,042895,051071,0.236
722,Thomas,124303,031752,0.201
723,Thomas,149666,128621,0.207
724,Thomas,116414,126320,0.211
725,Thomas,116866,073814,0.227
726,Thomas,201262,178631,0.201
727,Thomas,199217,024649,0.215
728,Thomas,172648,079816,0.242
729,Thomas,003887,180542,0.203
730,Thomas,070457,045833,0.237
731,Thomas,128364,168291,0.205
732,Thomas,080291,030573,0.216
733,Thomas,075309,010526,0.209
734,Thomas,081376,064698,0.245
735,Thomas,183169,138373,0.213
736,Thomas,168944,177201,0.217
737,Thomas,168536,084322,0.231
738,Thomas,105053,107154,0.21
739,Thomas,186637,105516,0.208
740,Thomas,200385,169872,0.24
741,Thomas,129283,201514,0.213
742,Thomas,002960,033937,0.212
743,Thomas,051707,000074,0.246
744,Thomas,109034,001634,0.211
745,Thomas,078289,126858,0.228
746,Thomas,117981,112427,0.204
747,Thomas,164551,179862,0.208
748,Thomas,164923,130355,0.21
749,Thomas,054059,016653,0.219
750,Thomas,194397,175301,0.206
751,Thomas,148781,030112,0.223
752,Thomas,176756,189099,0.22
753,Thomas,007999,198205,0.213
754,Thomas,129956,036338,0.21
755,Thomas,058799,140930,0.206
756,Thomas,198457,095741,0.244
757,Thomas,071217,001987,0.224
758,Thomas,129524,166823,0.244
759,Thomas,173008,083797,0.223
760,Thomas,198825,096815,0.204
761,Thomas,200422,141408,0.242
762,Thomas,186190,174541,0.212
763,Thomas,022002,040181,0.225
764,Thomas,109793,009615,0.233
765,Thomas,093171,031333,0.201
766,Thomas,112978,149110,0.201
767,Thomas,125543,155425,0.223
768,Thomas,125931,156151,0.215
769,Thomas,194430,079463,0.211
770,Thomas,033310,019431,0.228
771,Thomas,082263,152978,0.218
772,Thomas,106146,091417,0.226
773,Thomas,004359,061666,0.223
774,Thomas,185722,061358,0.206
775,Thomas,159334,020832,0.218
776,Thomas,001407,077737,0.211
777,Thomas,103618,168860,0.204
778,Thomas,028189,173073,0.206
779,Thomas,179183,062547,0.243
780,Thomas,052612,109571,0.219
781,Thomas,114894,041376,0.204
782,Thomas,155353,009502,0.202
783,Thomas,189745,188336,0.201
784,Thomas,060105,147411,0.207
785,Thomas,175643,088890,0.2
786,Thomas,118326,160890,0.205
787,Thomas,185085,125006,0.214
788,Thomas,090064,157254,0.208
789,Thomas,008499,159442,0.245
790,Thomas,138191,004979,0.225
791,Thomas,013600,169284,0.219
792,Thomas,197525,120497,0.202
793,Thomas,126824,186876,0.217
794,Thomas,197957,004206,0.204
795,Thomas,155886,070202,0.227
796,Thomas,126456,194727,0.223
797,Thomas,188105,112048,0.222
798,Thomas,154513,154219,0.219
799,Thomas,053052,025939,0.233
800,Thomas,091183,122112,0.201
801,Thomas,158574,171895,0.221
802,Thomas,000247,072550,0.209
803,Thomas,158906,200973,0.227
804,Thomas,135011,040150,0.204
805,Thomas,005519,197950,0.225
806,Thomas,107706,136833,0.223
807,Thomas,041980,197874,0.207
808,Thomas,032550,185170,0.213
809,Thomas,083423,105788,0.21
810,Thomas,032922,176104,0.219
811,Thomas,196365,158747,0.215
812,Thomas,127216,167332,0.202
813,Thomas,025009,082967,0.238
814,Thomas,091624,177979,0.202
815,Thomas,193849,100248,0.2
816,Thomas,020757,033542,0.21
817,Thomas,122548,105964,0.229
818,Thomas,115973,049208,0.214
819,Thomas,115501,179865,0.214
820,Thomas,202377,005213,0.203
821,Thomas,044979,032015,0.203
